                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0277,                0.72869,                0.96922,                0.89513,                0.76744,                0.89318,                0.60505,                0.92444,                0.74129,                0.92875,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.0121,                 0.7278,                0.96794,                0.92286,                0.83476,                0.93962,                0.60751,                 1.1527,                0.69071,                0.96904,               0.001769,               0.001769,               0.001769
                     37,                 1.0445,                0.74012,                0.97766,                0.85685,                0.83522,                0.91252,                0.62897,                0.87709,                0.65005,                0.92417,              0.0017624,              0.0017624,              0.0017624
                     38,                  1.103,                0.75934,                0.97913,                0.85306,                0.83721,                0.88844,                0.59931,                 1.2403,                0.78561,                 1.0066,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.0876,                0.74996,                0.98163,                0.97257,                0.82463,                0.90963,                0.64302,                 0.9117,                0.64681,                0.92829,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.0308,                0.70458,                0.95627,                0.88139,                0.86417,                0.95055,                0.65085,                0.97795,                0.66151,                0.95898,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.0194,                0.69008,                 0.9771,                0.91378,                0.83721,                0.95016,                0.68484,                 0.8751,                0.62083,                0.91636,               0.001736,               0.001736,               0.001736
                     42,                0.98568,                0.65325,                 0.9529,                0.96164,                0.83721,                0.93112,                0.67806,                0.86049,                0.73739,                0.93467,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.0217,                0.69372,                0.98696,                 0.9435,                0.77692,                0.87872,                0.64567,                0.89817,                0.76013,                0.96492,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.0072,                0.67865,                0.96602,                0.90863,                0.76744,                0.87925,                0.61708,                 1.0136,                0.82359,                0.98922,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.0427,                0.68851,                0.96592,                0.89481,                0.79132,                0.88917,                 0.6206,                 1.0306,                0.73239,                0.97726,              0.0017096,              0.0017096,              0.0017096
                     46,                0.96465,                0.65686,                0.94093,                0.91648,                 0.7907,                 0.8935,                0.63581,                0.89414,                0.63391,                0.91259,               0.001703,               0.001703,               0.001703
                     47,                 1.0419,                0.67262,                0.94455,                0.98082,                0.83721,                0.92111,                0.62919,                0.86499,                0.63598,                0.91783,              0.0016964,              0.0016964,              0.0016964
